Name,Age,Nominating party,Political party,Votes 2014,Percentual gain 2014,Ballot rank,Final rank,Mandate
Michková Ludmila,67,KSČM,KSČM,2560.0,2.59,31,27,-
Mikát Miroslav,55,Zelení,BEZPP,1227.0,2.19,36,34,-
Mikšovská Manďáková Daniela Ing.,56,VPM,BEZPP,722.0,3.05,14,-,-
Minařík Jakub Ing.,27,HRAD.PATRIOTI,BEZPP,491.0,2.62,15,-,-
Molnárová Jiřina,69,Úsvit,BEZPP,307.0,2.12,36,-,-
Moravec Michal Bc.,41,ODS,ODS,1945.0,3.1,3,2,-
Morávek Tomáš Ing.,35,DOMA,BEZPP,297.0,2.47,17,-,-
Morávková Pavla,23,ODS,BEZPP,1622.0,2.59,12,10,-
Motalová Beatrice Mgr.,24,NK,BEZPP,193.0,2.43,27,-,-
Mottlová Silvie,45,HRAD.PATRIOTI,BEZPP,458.0,2.45,27,-,-
Mudruňka Jaroslav,60,HRAD.PATRIOTI,BEZPP,537.0,2.87,20,-,-
Mukařovská Kateřina,51,NK,BEZPP,849.0,2.65,14,-,-
Müller Robert Ing.,45,KDU-ČSL,BEZPP,1298.0,2.13,34,32,-
Műllerová Johana,21,Úsvit,BEZPP,345.0,2.38,24,-,-
Nádvorník Ondřej Bc.,25,NK,BEZPP,703.0,2.19,29,-,-
Nádvorník Richard Ing.,53,STAN,BEZPP,1024.0,3.2,7,-,-
Nedvídek Miroslav,49,Úsvit,BEZPP,344.0,2.37,30,-,-
Nejedlý Libor Ing.,63,KSČM,KSČM,2778.0,2.81,5,1,-
Němec David,20,Úsvit,BEZPP,344.0,2.37,26,-,-
Němec Ondřej,27,NK,BEZPP,195.0,2.46,13,-,-
Němeček Jiří PhDr.,71,KDU-ČSL,KDU-ČSL,1879.0,3.08,16,6,-
Netík Petr Ing.,57,Svobodní,Svobodní,539.0,2.15,37,-,-
Niangová Ivana MUDr. Ph.D.,51,NK,BEZPP,1173.0,3.66,5,-,-
Nistor Jan,42,NK,BEZPP,273.0,2.27,22,-,-
Nixová Kateřina Mgr.,36,Nestran.,BEZPP,1541.0,2.53,17,15,-
Nosek Jiří PhDr.,69,BPI,BEZPP,209.0,2.64,7,-,-
Novák Robert Mgr.,47,HDK,BEZPP,6369.0,2.52,30,18,-
